R0000100,R0003300,R0005700,R0060300,R1051600,R1302000,R1302100,R1303400,R6235600,R6502300,R6513700,R6516200,R6520300,R6553600,R7289200,R7289400,R7293430,R7312300,R7329900,R7330000,R7337600,R7344600,R7344700,R7347500,R7347600,R7347700,R7477700,R7477800,R7610300
1100,1,16,101,-4,0,-4,4,-5,-4,56,1,1,-4,0,-4,427,12000,3,-2,-4,1,0,0,0,10000,-4,-4,0
1119,1,18,91,-4,0,-4,-4,12,-4,59,1,4,-4,0,-4,570,1000,4,18000,-4,1,0,-2,-2,-2,-4,-4,0
1154,5,15,94,-4,0,-4,5,13,-4,53,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1156,1,17,95,-5,1,10,1,-5,-4,53,4,-4,-4,1,-4,507,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
1344,6,-4,-4,-4,0,-4,-4,-5,-4,58,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1348,6,-4,106,-4,0,-4,2,-5,-4,53,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,9
1483,6,17,101,-4,-4,-4,1,-5,-4,55,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1566,6,-4,74,-4,1,2,-4,15,-4,54,1,-2,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1578,6,-4,-4,-4,1,-4,9,14,-4,52,1,4,-4,1,1,460,45000,3,-1,-4,2,0,-2,-2,-2,-4,-4,1
1597,6,-4,83,-4,-5,-5,-5,-5,-4,52,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1610,1,17,113,-4,-5,-5,-5,-5,-4,55,4,-4,5,0,1,460,37500,2,-2,-4,1,0,0,0,10000,-4,-4,0
1626,6,-4,-4,-4,1,3,4,-5,-4,50,4,-4,-4,0,-4,479,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1634,1,17,97,-4,-5,-5,-5,11,-4,58,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1742,6,-4,104,18,0,-4,-4,18,-4,54,4,-4,-4,0,-4,574,65000,2,30000,-4,2,0,-2,-2,-2,-4,-4,0
1870,6,-4,96,-4,0,-4,1,12,-4,52,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1885,6,-4,-4,-4,1,15,-4,-5,-4,53,5,-4,-4,0,-4,625,-4,6,-2,-4,3,0,-1,-1,-1,-4,-4,0
1968,6,-4,102,-4,0,-4,-4,-5,-4,50,1,4,-4,0,1,480,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2034,6,-4,106,-4,1,3,3,-5,-4,51,1,4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2063,6,-4,128,-4,0,-4,25,-5,-4,58,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2165,6,-4,111,-4,0,-4,-4,16,-4,51,1,8,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2285,6,-4,96,-4,0,-4,-4,17,-4,51,1,8,-4,0,1,433,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2636,1,18,-4,-4,-5,-5,-5,12,-4,57,4,-4,-4,0,1,633,-4,-2,-2,-4,-2,-2,-2,-2,-2,-4,-4,1
2681,6,-4,119,-4,1,20,6,17,-4,51,6,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2692,1,18,88,-4,0,-4,4,12,-4,56,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2759,1,21,-4,-4,0,-4,-4,18,-4,57,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2760,6,-4,-4,-4,0,-4,-4,12,-4,49,1,4,-4,0,-4,547,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2770,1,16,-4,-4,-5,-5,-5,12,-4,53,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2777,6,-4,999,-4,0,-4,-4,12,-4,51,1,4,-4,0,-4,373,19000,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2855,6,18,91,14,0,-4,-1,-5,-4,56,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2914,6,19,109,-4,0,-4,-4,12,-4,56,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2937,6,-4,107,-4,0,-4,3,17,-4,53,1,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2962,1,18,100,-4,-5,-5,-5,12,-4,60,1,4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2968,1,17,109,-4,0,-4,-4,11,-4,59,1,4,-4,0,-4,378,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3003,2,15,-4,-4,0,-4,-4,-5,-4,50,1,4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3082,6,-4,-4,-4,0,-4,-4,17,-4,49,1,6,-4,0,1,597,50000,3,-2,-4,2,1,5000,0,5000,-4,-4,1
3112,6,-4,90,-4,0,-4,-4,18,-4,52,1,8,-4,0,-4,518,55000,3,90000,-4,2,1,0,0,0,-4,-4,0
3135,2,18,79,-5,0,-4,-4,12,-4,54,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3181,6,-4,-4,-4,0,-4,4,17,-4,51,1,8,-4,0,1,452,57000,2,-2,-4,1,0,5000,0,5000,-4,-4,1
3185,6,-4,94,-4,0,-4,-4,12,-4,50,1,6,-4,0,-4,378,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3197,6,-4,-4,-4,0,-4,-4,12,-4,52,5,-4,-4,0,-4,550,16800,3,-2,-4,3,0,-2,-2,-2,-4,-4,0
3200,6,18,999,-4,0,-4,-4,13,-4,55,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3247,1,18,-4,-4,0,-4,-4,12,-4,57,1,4,-4,0,-4,373,-1,2,-1,-4,1,-4,-4,-4,-4,-4,-4,1
3255,6,21,117,-4,0,-4,-4,17,-4,57,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3263,6,-4,-4,-4,0,-4,-4,16,-4,51,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3302,4,22,109,-4,-5,-5,-5,16,-4,59,1,8,-4,0,-4,373,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3318,6,-4,97,-4,0,-4,-4,-5,-4,57,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3320,6,-4,-4,-4,0,-4,-4,-5,-4,50,1,6,-4,0,-4,379,-1,2,25000,-4,2,0,-4,-4,-4,-4,-4,0
3322,6,17,112,-4,1,-4,-4,12,-4,58,1,4,-4,0,-4,373,-4,2,-1,-4,2,0,-4,-4,-4,-4,-4,0
3329,1,16,96,-4,1,10,-4,-5,-4,53,1,4,-4,0,-4,373,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3456,6,-4,110,-5,0,-4,2,15,-4,54,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3539,1,17,112,-4,0,-4,4,16,-4,53,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,9
3561,6,-4,112,-4,0,-4,5,14,-4,51,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3644,6,-4,98,-4,0,-4,-4,13,-4,54,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3652,5,-4,91,-4,1,2,4,14,-4,61,4,-4,-4,0,-4,639,-4,4,-2,-4,3,0,-2,-2,-2,-4,-4,0
3669,1,-4,98,-4,0,-4,-4,17,-4,60,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3674,4,-4,115,-4,0,-4,2,18,-4,60,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3676,1,19,104,-4,0,-4,10,18,-4,56,1,8,-4,0,1,513,5000,5,30000,-4,1,1,0,0,10000,-4,-4,0
3717,2,16,-4,-4,1,1,5,-5,-4,53,4,-4,-4,0,-4,746,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3804,6,-4,-4,-4,0,-4,-4,-5,-4,54,4,-4,-4,0,1,576,-1,5,-2,-4,2,1,-4,-4,-4,-4,-4,0
4008,1,17,113,-4,1,4,4,-5,-4,54,1,-1,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
4022,6,-4,85,-4,0,-4,-4,14,-4,53,4,-4,-4,0,-4,456,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
4023,6,-4,92,-4,0,-4,-4,12,-4,50,1,6,-4,0,1,447,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
4024,1,20,-4,-4,0,-4,-4,12,-4,57,1,4,-4,0,-4,488,-2,2,-2,-4,1,0,-4,-4,-4,-4,-4,0
4031,5,18,-4,-4,0,-4,2,-5,-4,58,1,3,-4,0,1,472,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
4108,1,18,-4,-4,0,-4,18,12,-4,57,1,8,-4,0,1,375,28000,2,-2,-4,1,0,-2,-2,-2,-4,-4,0
4259,1,16,97,-4,1,-4,-4,10,-4,58,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
4277,1,14,-4,-5,-5,-5,-5,6,-4,57,1,2,-4,1,-4,664,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
4280,6,-4,999,-4,0,-4,2,14,-4,50,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
4295,6,-4,102,-4,0,-4,6,15,-4,53,3,-4,-4,0,0,575,-4,1,-1,-4,1,1,2000,3000,5000,-4,-4,1
4363,6,-4,115,-4,0,-4,-4,18,-4,54,1,8,-4,-1,-4,373,-1,-2,-2,-4,-2,-2,-2,-2,-2,-4,-4,1
4428,6,-4,-4,-5,0,-4,-4,12,-4,54,1,1,-4,0,-4,642,30417,3,-2,-4,-4,-4,-4,-4,-4,-4,-4,1
4445,6,-4,-4,-4,0,-4,5,-5,-4,50,4,-4,-4,0,-4,373,-4,4,8000,-4,2,0,0,0,0,-4,-4,1
4506,6,19,97,-4,0,-4,-4,12,-4,56,4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
4545,6,-4,-4,-4,-5,-5,-5,-5,-4,51,1,4,-4,1,0,373,42808,3,50000,-4,1,0,0,0,10000,-4,-4,1
4570,1,17,-4,-5,-5,-5,-5,12,-4,59,1,-4,-4,0,-4,518,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
4586,6,-4,90,-4,0,-4,1,18,-4,53,1,9,-4,0,-4,426,-4,2,-2,-4,1,0,-4,-4,-4,-4,-4,0
4611,6,-4,91,-4,0,-4,1,12,-4,51,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
4614,6,18,76,-4,-5,-5,-5,12,-4,55,4,-4,-4,1,-4,651,-4,3,-2,-4,2,0,200,200,200,-4,-4,1
4618,1,18,78,-4,0,-4,-4,12,-4,60,1,8,-4,0,-4,506,22000,2,-2,-4,1,0,200,200,200,-4,-4,1
4623,1,17,83,-5,0,-4,-4,-5,-4,55,1,4,-4,0,-4,466,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
4672,1,18,76,-4,0,-4,-4,12,-4,53,1,4,-4,0,-4,412,-4,1,28000,-4,1,0,-4,-4,-4,-4,-4,1
4718,6,-4,999,-4,0,-4,-4,-5,-4,52,4,-4,-4,0,-4,477,-1,3,-2,-4,2,0,0,0,10000,-4,-4,0
4783,6,-4,99,-4,-5,-5,-5,11,-4,51,4,-4,-4,-2,-2,-4,-4,-2,-2,-4,2,-2,-2,-2,-2,-4,-4,1
4823,1,17,94,-4,0,-4,-4,12,-4,59,1,4,-4,0,-4,591,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
5083,1,13,-4,-5,1,-4,-4,12,-4,50,4,-4,-4,1,-4,586,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
5126,6,-4,-4,-4,0,-4,5,-5,-4,50,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
2,6,-4,-4,-4,1,10,-4,12,-4,51,1,6,-4,1,-4,417,-1,3,-1,-4,1,0,0,0,0,0,0,0
36,6,-4,105,-4,0,-4,-4,16,-4,52,6,-4,-4,0,0,422,10000,5,50000,-4,4,0,0,0,10000,0,0,0
54,6,-4,81,-5,1,10,-4,12,-4,55,6,-4,-4,0,-4,375,-4,1,-1,-4,1,0,0,0,10000,0,0,0
73,6,-4,113,-4,1,25,-4,14,-4,51,6,-4,-4,1,-4,627,24000,4,-2,-4,2,0,-2,-2,-2,0,0,0
86,6,22,-4,-4,1,20,28,17,-4,59,6,-4,-4,1,1,533,73000,4,26000,-4,2,0,0,0,10000,0,0,0
128,6,-4,999,-4,0,-4,4,12,-4,51,1,8,-4,0,1,573,-1,2,-2,-4,2,0,-2,-2,-2,0,0,0
131,6,18,101,-4,1,-4,-4,-5,14,56,4,-4,-4,1,-4,614,-2,3,-2,-4,2,0,0,0,0,0,0,0
137,6,-4,96,-4,0,-4,-1,-5,-4,51,1,10,-4,0,1,381,72000,2,-2,-4,2,0,-2,-2,-2,0,0,0
174,6,18,999,-4,-5,-5,-5,12,-4,58,1,6,-4,0,1,373,-4,2,45000,-4,1,0,2500,1000,6500,0,0,0
203,1,17,100,-4,0,-4,-4,11,-4,56,1,6,-4,0,-4,489,-4,6,25000,-4,3,0,5000,2000,3000,0,0,0
213,1,18,80,-4,0,-4,2,10,-4,58,4,-4,-4,0,-4,656,-4,-2,10000,-4,2,0,3300,3300,3400,0,0,0
219,6,-4,-4,-4,0,-4,3,14,-4,50,6,-4,-4,0,1,625,-4,4,16000,-4,3,1,8000,2000,0,0,0,0
225,6,-4,101,-4,0,-4,15,16,-4,50,4,-4,-4,0,1,660,78000,2,45000,-4,3,0,7000,3000,0,0,0,0
229,6,-4,128,-4,0,-4,4,16,-4,55,4,-4,-4,0,1,467,10000,4,15600,-4,2,1,2500,2500,5000,0,0,0
237,6,-4,121,-4,0,-4,8,16,-4,51,6,-4,-4,0,1,373,53000,2,25000,-4,1,0,2500,7500,0,0,0,0
247,6,17,61,-4,0,-4,-4,9,-4,53,6,-4,-4,0,-4,554,-4,2,-2,-4,2,0,0,0,0,0,0,0
252,6,-4,120,-4,0,-4,1,12,-4,53,6,-4,-4,0,0,474,29768,3,29000,-4,1,0,0,0,0,0,0,0
262,6,17,110,-4,0,-4,3,14,-4,59,4,-4,4,0,1,471,24000,5,17000,-4,2,0,0,0,0,0,0,1
264,6,-4,114,-4,1,-4,-4,14,-4,51,4,-4,-2,1,-4,467,-4,2,-2,-4,3,0,0,0,10000,0,0,0
298,6,-4,116,-4,0,-4,-4,17,-4,52,1,8,-4,0,0,416,-1,2,100000,-4,2,0,7000,0,3000,0,0,1
301,6,-4,111,-4,0,-4,3,18,-4,53,6,-4,-4,1,1,380,98000,3,100000,-4,2,1,5000,2500,2500,0,0,0
319,6,17,112,-4,1,15,1,12,-4,60,1,5,-4,0,1,617,8000,2,50000,-4,2,1,5000,5000,0,0,0,0
324,1,17,-4,-5,1,8,3,12,-4,59,1,4,-4,0,0,541,-4,2,50000,-4,2,0,3000,2000,5000,0,0,0
325,6,-4,-4,-4,0,-4,-4,12,-4,49,6,-4,-4,0,1,511,40000,5,12000,-4,2,1,0,0,2000,0,0,1
332,6,-4,-4,-4,0,-4,-4,-5,-4,51,6,-4,-4,1,-4,591,-4,5,-2,-4,2,0,-2,-2,-2,0,0,0
335,6,-4,-4,-4,0,-4,4,12,-4,52,6,-4,-4,0,1,379,28500,4,28500,-4,1,0,0,0,10000,0,0,0
366,6,19,83,-4,0,-4,-4,12,-4,55,6,-4,-4,0,-4,491,-1,7,-2,-4,4,0,1000,4000,5000,0,0,0
379,6,19,118,-4,1,15,-4,13,-4,58,6,-4,-4,1,0,544,26000,3,26000,-4,2,0,2500,2500,5000,0,0,0
383,6,-4,113,-4,1,-4,-4,18,-4,52,4,-4,-4,1,0,576,17400,3,40000,-4,2,0,5000,5000,0,0,0,0
399,6,-4,127,-4,1,-4,1,16,-4,52,1,8,-4,0,0,377,-4,1,2,-4,1,0,7000,3000,0,0,0,0
403,6,18,95,-4,0,-4,-4,12,-4,55,6,-4,-4,0,-4,457,17507,1,650,-4,1,1,-2,-2,-2,0,0,0
421,6,-4,111,-4,0,-4,-4,12,-4,53,1,-2,-4,0,-4,546,-4,2,18000,-4,1,0,0,0,10000,0,0,0
432,6,-4,999,-4,1,10,8,-5,-4,52,1,-1,-4,-1,-4,-4,-1,-1,-1,-4,-1,-1,-1,-1,-1,0,0,0
440,6,-4,102,-4,-5,-5,-5,12,-4,52,1,4,-4,0,1,502,3000,4,36000,-4,1,0,0,0,10000,0,0,0
448,6,-4,117,-5,1,-4,20,17,-4,53,4,-4,-4,1,1,522,36000,5,30000,-4,2,1,5000,2500,2500,0,0,0
465,6,-4,122,-4,1,10,5,18,-4,51,4,-4,-4,1,1,655,38000,1,60000,-4,1,0,-2,-2,-2,0,0,0
469,6,-4,-4,-4,1,20,-4,12,-4,49,4,-4,-4,0,-4,442,-1,4,-2,-4,2,0,-2,-2,-2,0,0,0
486,6,-4,107,18,0,-4,2,18,-4,53,4,-4,-4,0,1,509,63232,3,63232,-4,2,1,0,0,10000,0,0,0
490,6,-4,91,-4,0,-4,-4,12,-4,52,1,8,-4,0,1,519,25000,2,100000,-4,1,1,3330,3330,3330,0,0,0
492,6,-4,109,-4,0,-4,12,13,-4,54,1,10,-4,0,1,373,-4,7,-2,-4,2,1,-2,-2,-2,0,0,0
497,6,-4,122,16,0,-4,-4,16,-4,52,6,-4,-4,0,-4,373,36000,2,19000,-4,2,0,10000,0,0,0,0,0
531,6,-4,113,-5,0,-4,20,16,-4,55,4,-4,-4,0,1,381,150001,1,-2,-4,1,1,10000,0,0,0,0,0
541,6,-4,102,-4,1,15,15,13,-4,53,1,-1,-4,-1,-4,-4,-1,-1,-1,-4,-1,-1,-1,-1,-1,0,0,1
555,6,-4,-4,-4,-4,-4,-4,12,-4,51,1,4,-4,0,-4,498,1000,5,50000,-4,2,0,-2,-2,-2,0,0,0
559,6,-4,-4,-4,0,-4,-4,10,-4,52,6,-4,-4,0,-4,638,-4,5,10000,-4,2,0,5000,0,5000,0,0,0
561,1,15,-4,14,0,-4,-4,14,-4,57,1,8,-4,0,-4,526,39000,5,39000,-4,3,0,0,0,3000,0,0,0
570,6,-4,104,-4,1,9,15,16,-4,51,6,-4,-4,0,0,501,17000,7,-2,1,1,1,-1,-1,-1,0,0,0
571,6,-4,-4,-4,0,-4,-4,18,-4,50,1,4,-4,0,0,373,80000,1,-2,1,1,0,5000,0,5000,0,0,0
576,6,-4,-4,-5,-5,-5,-5,11,-4,51,6,-4,-4,1,-4,589,-4,2,-2,-4,1,0,2000,2000,2000,0,0,0
602,1,20,999,-4,-5,-5,-5,12,-4,60,3,-4,-4,0,-4,465,-4,2,-1,-4,2,0,0,0,0,0,0,0
614,6,18,-4,-4,0,-4,-1,-5,-4,57,6,-4,-4,1,1,376,10000,4,-2,-4,2,0,10000,0,0,0,0,0
670,6,21,126,-4,1,-4,3,16,-4,59,6,-4,-4,1,0,708,-4,6,25000,-4,3,0,0,0,10000,0,0,0
710,6,-4,128,-4,0,-4,10,17,-4,54,6,-4,-4,0,1,490,70000,2,-2,-4,2,0,0,1000,1000,0,0,0
716,6,-4,133,-4,0,-4,-4,13,-4,54,4,-4,-4,0,0,567,49500,5,-2,-4,2,0,-2,-2,-2,0,0,0
735,1,21,126,-4,0,-4,-4,16,-4,57,3,-4,-4,0,-4,426,-1,1,-2,-4,1,0,-2,-2,-2,0,0,0
738,6,18,109,12,1,-4,-4,14,-4,57,1,8,-4,0,-4,724,-4,3,75000,-4,4,0,0,2000,8000,0,0,0
757,6,-4,121,-4,0,-4,6,18,-4,57,6,-4,-4,0,1,375,107000,3,60000,-4,2,0,3000,3000,4000,0,0,0
783,6,-4,125,18,0,-4,1,18,-4,57,6,-4,-4,0,1,498,52000,3,-2,-4,2,1,5000,0,5000,0,0,0
791,6,-4,111,16,1,10,4,16,-4,51,4,-4,-4,0,1,373,37000,4,-2,1,1,0,2000,2000,6000,0,0,0
851,6,19,90,-4,-5,-5,-5,-5,-4,55,6,-4,-4,-1,-4,-4,-4,-1,-1,-4,-1,-1,-1,-1,-1,0,0,0
854,6,-4,85,-4,0,-4,-4,12,-4,54,6,-4,-4,0,0,644,-4,5,10000,-4,3,0,0,0,10000,0,0,0
856,6,-4,78,-4,0,-4,5,12,-4,53,6,-4,-4,0,0,375,35000,2,700,-4,2,0,0,0,0,0,0,1
864,1,18,111,-4,-5,-5,-5,12,-4,59,4,-4,-4,0,1,373,-4,2,-1,-4,1,1,10000,0,0,0,0,0
871,6,-4,-4,-4,0,-4,-4,15,-4,51,6,-4,-4,0,-4,396,-1,3,-2,-4,2,0,-2,-2,-2,0,0,0
907,6,-4,109,17,0,-4,-4,-5,-4,55,1,9,-4,-1,-4,-4,-4,-1,-1,-4,-1,-1,-1,-1,-1,0,0,0
910,6,-4,-4,-4,0,-4,4,18,-4,50,1,10,-4,0,-4,439,-4,3,60000,-4,2,0,10000,-2,-2,0,0,0
920,6,-4,-4,-4,0,-4,4,17,-4,50,1,10,-4,0,1,477,-4,1,-1,-4,1,1,0,10000,0,0,0,0
934,6,-4,111,-4,0,-4,-4,18,-4,56,4,-4,-4,0,-4,373,-4,3,-1,-4,2,0,-2,-2,-2,0,0,0
935,6,-4,116,-4,0,-4,-4,15,-4,52,1,8,-4,0,0,495,-4,2,45000,-4,1,0,0,0,10000,0,0,1
