"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"R7289400","R7289400","integer","integer","-2","-2","",""
"R7289400","R7289400","integer","integer","0","0","",""
"R7289400","R7289400","integer","integer","1","1","",""
"R7289400","R7289400","integer","integer",".",".","",""
"R7293430","R7293430","integer","integer",".",".","",""
"R7312300","R7312300","integer","integer",".",".","",""
"R7329900","R7329900","integer","integer","-5","-5","",""
"R7329900","R7329900","integer","integer","-4","-4","",""
"R7329900","R7329900","integer","integer","-2","-2","",""
"R7329900","R7329900","integer","integer","-1","-1","",""
"R7329900","R7329900","integer","integer","1","1","",""
"R7329900","R7329900","integer","integer","2","2","",""
"R7329900","R7329900","integer","integer","3","3","",""
"R7329900","R7329900","integer","integer","4","4","",""
"R7329900","R7329900","integer","integer","5","5","",""
"R7329900","R7329900","integer","integer","6","6","",""
"R7329900","R7329900","integer","integer","7","7","",""
"R7329900","R7329900","integer","integer",".",".","",""
"R7330000","R7330000","integer","integer",".",".","",""
"R7337600","R7337600","integer","integer","-5","-5","",""
"R7337600","R7337600","integer","integer","-4","-4","",""
"R7337600","R7337600","integer","integer","0","0","",""
"R7337600","R7337600","integer","integer","1","1","",""
"R7337600","R7337600","integer","integer",".",".","",""
"R7344600","R7344600","integer","integer","-5","-5","",""
"R7344600","R7344600","integer","integer","-4","-4","",""
"R7344600","R7344600","integer","integer","-2","-2","",""
"R7344600","R7344600","integer","integer","-1","-1","",""
"R7344600","R7344600","integer","integer","1","1","",""
"R7344600","R7344600","integer","integer","2","2","",""
"R7344600","R7344600","integer","integer","3","3","",""
"R7344600","R7344600","integer","integer","4","4","",""
"R7344600","R7344600","integer","integer",".",".","",""
"R7344700","R7344700","integer","integer","-5","-5","",""
"R7344700","R7344700","integer","integer","-4","-4","",""
"R7344700","R7344700","integer","integer","-2","-2","",""
"R7344700","R7344700","integer","integer","-1","-1","",""
"R7344700","R7344700","integer","integer","0","0","",""
"R7344700","R7344700","integer","integer","1","1","",""
"R7344700","R7344700","integer","integer",".",".","",""
"R7347500","R7347500","integer","integer",".",".","",""
"R7347600","R7347600","integer","integer",".",".","",""
"R7347700","R7347700","integer","integer",".",".","",""
"R7477700","R7477700","integer","integer",".",".","",""
"R7477800","R7477800","integer","integer","-5","-5","",""
"R7477800","R7477800","integer","integer","-4","-4","",""
"R7477800","R7477800","integer","integer","0","0","",""
"R7477800","R7477800","integer","integer","1","1","",""
"R7477800","R7477800","integer","integer","2","2","",""
"R7477800","R7477800","integer","integer","3","3","",""
"R7477800","R7477800","integer","integer","4","4","",""
"R7477800","R7477800","integer","integer","5","5","",""
"R7477800","R7477800","integer","integer","7","7","",""
"R7477800","R7477800","integer","integer",".",".","",""
"R7610300","R7610300","integer","integer","-5","-5","",""
"R7610300","R7610300","integer","integer","0","0","",""
"R7610300","R7610300","integer","integer","1","1","",""
"R7610300","R7610300","integer","integer","9","9","",""
"R7610300","R7610300","integer","integer",".",".","",""
